Tick 435(421), Delay 43 ms, IGT 00:21.000, RTA 00:43.965-00:44.008
Tick 436(422), Delay 57 ms, IGT 00:21.050, RTA 00:44.008-00:44.065
Tick 437(423), Delay 45 ms, IGT 00:21.100, RTA 00:44.065-00:44.110
Tick 439(425), Delay 71 ms, IGT 00:21.200, RTA 00:44.157-00:44.228
Tick 440(426), Delay 33 ms, IGT 00:21.250, RTA 00:44.228-00:44.261
Tick 441(427), Delay 66 ms, IGT 00:21.300, RTA 00:44.261-00:44.327
Tick 443(429), Delay 33 ms, IGT 00:21.400, RTA 00:44.375-00:44.408
Tick 444(430), Delay 57 ms, IGT 00:21.450, RTA 00:44.408-00:44.465
Tick 448(434), Delay 44 ms, IGT 00:21.650, RTA 00:44.618-00:44.662
Tick 449(435), Delay 57 ms, IGT 00:21.700, RTA 00:44.662-00:44.719
Tick 452(438), Delay 57 ms, IGT 00:21.850, RTA 00:44.813-00:44.870
Tick 460(446), Delay 34 ms, IGT 00:22.250, RTA 00:45.221-00:45.255
Tick 474(460), Delay 60 ms, IGT 00:22.950, RTA 00:45.911-00:45.971
Tick 477(463), Delay 35 ms, IGT 00:23.100, RTA 00:46.074-00:46.109
Tick 484(470), Delay 59 ms, IGT 00:23.450, RTA 00:46.410-00:46.469
Tick 485(471), Delay 39 ms, IGT 00:23.500, RTA 00:46.469-00:46.508
Tick 486(472), Delay 56 ms, IGT 00:23.550, RTA 00:46.508-00:46.564
Tick 493(479), Delay 39 ms, IGT 00:23.900, RTA 00:46.870-00:46.909
Tick 494(480), Delay 55 ms, IGT 00:23.950, RTA 00:46.909-00:46.964
Tick 495(481), Delay 64 ms, IGT 00:24.000, RTA 00:46.964-00:47.028
Tick 496(482), Delay 42 ms, IGT 00:24.050, RTA 00:47.028-00:47.070
Tick 497(483), Delay 42 ms, IGT 00:24.100, RTA 00:47.070-00:47.112
Tick 498(484), Delay 57 ms, IGT 00:24.150, RTA 00:47.112-00:47.169
Tick 499(485), Delay 56 ms, IGT 00:24.200, RTA 00:47.169-00:47.225
Tick 500(486), Delay 37 ms, IGT 00:24.250, RTA 00:47.225-00:47.262
Tick 510(496), Delay 63 ms, IGT 00:24.750, RTA 00:47.712-00:47.775
Tick 511(497), Delay 33 ms, IGT 00:24.800, RTA 00:47.775-00:47.808
Tick 513(499), Delay 57 ms, IGT 00:24.900, RTA 00:47.859-00:47.916
Tick 514(500), Delay 45 ms, IGT 00:24.950, RTA 00:47.916-00:47.961
Tick 519(505), Delay 58 ms, IGT 00:25.200, RTA 00:48.165-00:48.223
Tick 520(506), Delay 33 ms, IGT 00:25.250, RTA 00:48.223-00:48.256
Tick 523(509), Delay 57 ms, IGT 00:25.400, RTA 00:48.356-00:48.413
Tick 524(510), Delay 55 ms, IGT 00:25.450, RTA 00:48.413-00:48.468
Tick 529(515), Delay 37 ms, IGT 00:25.700, RTA 00:48.671-00:48.708
Tick 534(520), Delay 55 ms, IGT 00:25.950, RTA 00:48.910-00:48.965
Tick 536(522), Delay 41 ms, IGT 00:26.050, RTA 00:49.017-00:49.058
Tick 539(525), Delay 44 ms, IGT 00:26.200, RTA 00:49.161-00:49.205
Tick 540(526), Delay 55 ms, IGT 00:26.250, RTA 00:49.205-00:49.260
Tick 544(530), Delay 55 ms, IGT 00:26.450, RTA 00:49.412-00:49.467
Tick 547(533), Delay 41 ms, IGT 00:26.600, RTA 00:49.568-00:49.609
Tick 552(538), Delay 57 ms, IGT 00:26.850, RTA 00:49.814-00:49.871
Tick 553(539), Delay 35 ms, IGT 00:26.900, RTA 00:49.871-00:49.906
Tick 554(540), Delay 67 ms, IGT 00:26.950, RTA 00:49.906-00:49.973
Tick 555(541), Delay 33 ms, IGT 00:27.000, RTA 00:49.973-00:50.006
Tick 562(548), Delay 58 ms, IGT 00:27.350, RTA 00:50.312-00:50.370
Tick 563(549), Delay 38 ms, IGT 00:27.400, RTA 00:50.370-00:50.408
Tick 564(550), Delay 59 ms, IGT 00:27.450, RTA 00:50.408-00:50.467
Tick 566(552), Delay 71 ms, IGT 00:27.550, RTA 00:50.518-00:50.589
Tick 567(553), Delay 16 ms, IGT 00:27.600, RTA 00:50.589-00:50.605
Tick 572(558), Delay 66 ms, IGT 00:27.850, RTA 00:50.811-00:50.877
Tick 573(559), Delay 66 ms, IGT 00:27.900, RTA 00:50.877-00:50.943
Tick 574(560), Delay 92 ms, IGT 00:27.950, RTA 00:50.943-00:51.035
Tick 575(561), Delay 83 ms, IGT 00:28.000, RTA 00:51.035-00:51.118
